"id"	"mz_ratio"	"intensity"
"Hectochlorin M+H"	218.156921	4853.495117
"Hectochlorin M+H"	370.177979	16247.538086
"Hectochlorin M+H"	406.058289	68055.726562
"Hectochlorin M+H"	424.090088	6454.876953
"Hectochlorin M+H"	465.916718	12452.270508
"Hectochlorin M+H"	543.092834	3893.071045
"Hectochlorin M+H"	547.150635	7911.711426
"Hectochlorin M+H"	561.141785	15222.433594
"Hectochlorin M+H"	569.071045	16930.384766
"Hectochlorin M+H"	587.077148	8534.241211
"Hectochlorin M+H"	605.009155	367041.09375
"Hectochlorin M+H"	607.091064	4475.324707
"Hectochlorin M+H"	623.038208	16478.171875
"Hectochlorin M+H"	629.009888	23450.410156
"Hectochlorin M+H"	647.032104	3884.974365
"Jamaicamide A M+H"	182.256866	164.130707
"Jamaicamide A M+H"	230.243042	626.276001
"Jamaicamide A M+H"	231.234314	93.973831
"Jamaicamide A M+H"	257.163269	57.072823
"Jamaicamide A M+H"	258.186371	156.187683
"Jamaicamide A M+H"	259.19928	62.118698
"Jamaicamide A M+H"	266.263184	102.35392
"Jamaicamide A M+H"	273.170227	69.712013
"Jamaicamide A M+H"	321.193848	118.753975
"Jamaicamide A M+H"	344.378387	70.022957
"Jamaicamide A M+H"	355.119263	89.725563
"Jamaicamide A M+H"	356.065643	91.137451
"Jamaicamide A M+H"	369.205383	114.937584
"Jamaicamide A M+H"	376.151001	442.734985
"Jamaicamide A M+H"	377.343536	124.302216
"Jamaicamide A M+H"	384.113983	199.962799
"Jamaicamide A M+H"	407.259644	75.909798
"Jamaicamide A M+H"	408.160461	377.788818
"Jamaicamide A M+H"	409.929016	73.355743
"Jamaicamide A M+H"	412.070465	83.868622
"Jamaicamide A M+H"	425.552307	72.799423
"Jamaicamide A M+H"	426.220306	143.118927
"Jamaicamide A M+H"	427.158203	479.524994
"Jamaicamide A M+H"	428.224915	64.883736
"Jamaicamide A M+H"	441.246002	98.832924
"Jamaicamide A M+H"	471.167633	164.450424
"Jamaicamide A M+H"	473.265869	3136.59668
"Jamaicamide A M+H"	474.231354	1066.490723
"Jamaicamide A M+H"	475.307495	175.221024
"Jamaicamide A M+H"	492.085266	332.703247
"Jamaicamide A M+H"	493.076416	1129.619263
"Jamaicamide A M+H"	494.027557	5617.645996
"Jamaicamide A M+H"	495.074432	302.610535
"Jamaicamide A M+H"	509.195129	424.18631
"Jamaicamide A M+H"	510.243011	139.189636
"Jamaicamide A M+H"	511.204071	248.164093
"Jamaicamide A M+H"	541.665894	69.976761
"Jamaicamide A M+H"	546.123291	68.014969
"Jamaicamide A M+H"	547.149048	292.271393
"Jamaicamide A M+H"	553.077698	236.768433
"Jamaicamide A M+H"	554.069458	222.712357
"Jamaicamide A M+H"	555.183777	457.981934
"Jamaicamide A M+H"	558.245728	519.123718
"Jamaicamide A M+H"	559.127808	1270.704834
"Jamaicamide A M+H"	560.060547	126.022324
"Jamaicamide B M+H"	188.331879	71.477921
"Jamaicamide B M+H"	208.113312	1401.664062
"Jamaicamide B M+H"	209.191757	766.904236
"Jamaicamide B M+H"	230.322784	82.840881
"Jamaicamide B M+H"	282.255127	128.110748
"Jamaicamide B M+H"	283.319214	112.656029
"Jamaicamide B M+H"	284.342499	166.877213
"Jamaicamide B M+H"	356.44046	87.23642
"Jamaicamide B M+H"	357.312592	134.806778
"Jamaicamide B M+H"	392.356018	2180.280029
"Jamaicamide B M+H"	393.188446	6531.459961
"Jamaicamide B M+H"	394.137756	576.571411
"Jamaicamide B M+H"	458.237976	323.420624
"Barbamide M+H"	133.944092	3844172
"Barbamide M+H"	188.098694	617251
"Barbamide M+H"	206.736328	801347
"Barbamide M+H"	218.758698	27247216
"Barbamide M+H"	242.73822	2930930
"Carmaphycin B M+H"	153.891968	1082047
"Carmaphycin B M+H"	181.802505	1138185
"Carmaphycin B M+H"	197.768799	544391
"Carmaphycin B M+H"	299.91864	141324
"Carmaphycin B M+H"	316.884705	2312838
"Carmaphycin B M+H"	334.886261	13922001
"Carmaphycin B M+H"	360.777222	1833213
"Carmaphycin B M+H"	433.990631	220465
"Carmaphycin B M+H"	514.111389	1427860
"Tumonoic Acid I M+H"	223.762924	6000360
"Tumonoic Acid I M+H"	251.832596	43308768
"Tumonoic Acid I M+H"	343.971649	9393978
"Tumonoic Acid I M+H"	365.143951	935109
"Tumonoic Acid I M+H"	365.896942	85402448
"Tumonoic Acid I M+H"	383.95047	1933900
"Tumonoic Acid I M+H"	451.88739	4897305
"Tumonoic Acid I M+H"	479.850281	2147841
"Malyngamide J M+H"	223.92569	791
"Malyngamide J M+H"	282.892944	2058
"Malyngamide J M+H"	302.954224	1012
"Malyngamide J M+H"	398.024689	4416
"Malyngamide J M+H"	401.749817	1285
"Malyngamide J M+H"	415.898895	5169
"Malyngamide J M+H"	430.15686	666
"Malyngamide J M+H"	448.012909	4254
"Malyngamide J M+H"	503.802002	610
"Malyngamide J M+H"	535.590942	1345
