"id","mzs","ints"
77781,2,50
77781,12,80
77781,13,180
77781,14,611
77781,15,9999
77781,16,180
77781,17,70
77781,18,70
77781,19,10
77781,24,10
77781,25,10
77781,26,10
77781,27,30
77781,28,370
77781,29,7126
77781,30,1311
77781,31,6626
77781,32,4984
77781,33,490
77781,34,40
77781,35,10
77781,36,10
77781,37,10
77781,38,10
77781,39,10
77781,40,10
77781,41,10
77781,42,20
77781,43,50
77781,44,40
77781,45,3974
77781,46,761
77781,47,40
77781,48,1061
77781,49,140
77781,50,250
77781,51,10
77781,52,10
77781,53,10
77781,54,10
77781,55,10
77781,56,10
77781,57,10
77781,58,10
77781,59,10
77781,60,10
77781,61,100
77781,62,10
77781,63,20
77781,64,490
77781,65,921
77781,66,2112
77781,67,60
77781,68,100
77781,69,10
77781,70,10
77781,71,10
77781,72,10
77781,73,30
77781,74,10
77781,75,10
77781,76,10
77781,77,10
77781,78,350
77781,79,901
77781,80,10
77781,81,140
77781,82,10
77781,83,10
77781,84,10
77781,85,10
77781,87,10
77781,89,10
77781,90,10
77781,91,10
77781,92,10
77781,93,10
77781,94,30
77781,95,6646
77781,96,3453
77781,97,470
77781,98,170
77781,125,440
77781,126,310
77781,127,50
77781,128,20
503286,2,70
503286,12,120
503286,13,350
503286,14,1041
503286,15,9999
503286,16,130
503286,17,10
503286,24,10
503286,25,10
503286,26,180
503286,27,1291
503286,28,2903
503286,29,190
503286,30,280
503286,31,10
503286,39,10
503286,40,20
503286,41,230
503286,42,1782
503286,43,3513
503286,44,80
503286,54,10
503286,55,20
503286,56,20
503286,57,170
503286,58,1551
503286,59,40
616386,12,170
616386,13,310
616386,14,941
616386,15,9999
616386,16,260
616386,17,80
616386,18,20
616386,22,10
616386,25,10
616386,26,10
616386,27,20
616386,28,490
616386,29,4644
616386,30,721
616386,31,3663
616386,32,80
616386,33,530
616386,34,10
616386,41,10
616386,42,10
616386,43,80
616386,44,330
616386,45,5825
616386,46,130
616386,47,20
616386,56,10
616386,57,10
616386,58,10
616386,59,3193
616386,60,360
616386,61,190
616386,62,340
616386,63,10
616386,75,40
616386,77,10
616386,90,360
616386,91,10
616386,92,10
18113149,12,120
18113149,15,9999
18113149,16,260
18113149,17,1121
18113149,18,3493
18113149,19,10
18113149,25,460
18113149,26,370
18113149,27,160
18113149,28,660
18113149,29,1931
18113149,30,400
18113149,31,130
18113149,32,40
18113149,35,290
18113149,36,340
18113149,37,670
18113149,38,420
18113149,39,490
18113149,41,220
18113149,42,110
18113149,43,280
18113149,44,40
18113149,45,60
18113149,47,210
18113149,49,950
18113149,50,2112
18113149,51,1381
18113149,53,6146
18113149,54,280
18113149,55,80
18113149,56,40
18113149,57,110
18113149,58,60
18113149,60,1281
18113149,61,1421
18113149,62,1801
18113149,63,1661
18113149,64,150
18113149,65,460
18113149,66,90
18113149,67,40
18113149,69,90
18113149,72,300
18113149,73,580
18113149,74,210
18113149,75,200
18113149,77,410
18113149,79,780
18113149,80,40
18113149,81,20
18113149,83,110
18113149,85,1571
18113149,86,500
18113149,87,730
18113149,88,380
18113149,89,290
18113149,90,120
18113149,91,200
18113149,92,20
18113149,93,40
18113149,94,30
18113149,96,220
18113149,97,590
18113149,99,640
18113149,100,60
18113149,101,110
18113149,103,20
18113149,105,60
18113149,107,180
18113149,108,30
18113149,109,60
18113149,110,10
18113149,111,30
18113149,113,1471
18113149,114,230
18113149,115,470
18113149,116,70
18113149,120,130
18113149,121,190
18113149,122,90
18113149,123,140
18113149,124,20
18113149,125,50
18113149,126,50
18113149,127,70
18113149,128,40
18113149,129,60
18113149,130,10
18113149,131,20
18113149,133,150
18113149,135,100
18113149,137,20
18113149,141,680
18113149,142,140
18113149,143,210
18113149,144,40
18113149,147,10
18113149,149,2152
18113149,151,1431
18113149,152,70
18113149,153,200
18113149,157,20
18113149,159,10
18113149,161,20
18113149,162,10
18113149,163,40
18113149,164,20
18113149,165,20
18113149,177,5175
18113149,178,390
18113149,179,3273
18113149,180,210
18113149,181,540
18113149,182,30
18113149,192,3113
18113149,194,2112
18113149,195,140
18113149,196,300
18113149,197,20
1732087,12,71
1732087,13,78
1732087,15,9999
1732087,16,185
1732087,17,39
1732087,18,77
1732087,26,524
1732087,27,3793
1732087,28,2126
1732087,29,3659
1732087,30,376
1732087,31,1275
1732087,32,110
1732087,33,187
1732087,34,78
1732087,35,70
1732087,37,50
1732087,39,3379
1732087,40,885
1732087,41,6772
1732087,42,4658
1732087,43,6210
1732087,44,417
1732087,45,1728
1732087,46,48
1732087,47,48
1732087,48,885
1732087,49,821
1732087,50,89
1732087,51,155
1732087,52,92
1732087,53,810
1732087,54,48
1732087,55,9670
1732087,56,759
1732087,57,695
1732087,58,48
1732087,59,8526
1732087,60,271
1732087,61,70
1732087,63,223
1732087,64,28
1732087,65,165
1732087,66,73
1732087,67,626
1732087,68,2312
1732087,69,5675
1732087,70,605
1732087,71,349
1732087,72,28
1732087,73,3143
1732087,74,7348
1732087,75,332
1732087,76,43
1732087,77,34
1732087,79,279
1732087,80,110
1732087,81,268
1732087,82,34
1732087,83,4089
1732087,84,277
1732087,85,474
1732087,86,34
1732087,87,2225
1732087,88,303
1732087,89,35
1732087,95,163
1732087,96,1031
1732087,97,2492
1732087,98,222
1732087,99,35
1732087,100,1416
1732087,101,431
1732087,102,76
1732087,111,1557
1732087,112,138
1732087,113,473
1732087,114,76
1732087,115,6710
1732087,116,466
1732087,117,35
1732087,124,1831
1732087,125,3176
1732087,126,275
1732087,127,35
1732087,128,2419
1732087,129,423
1732087,130,45
1732087,139,183
1732087,141,65
1732087,145,50
1732087,146,47
1732087,156,659
1732087,157,2372
1732087,158,238
1732087,159,22
553902,12,9
553902,13,24
553902,14,212
553902,15,9999
553902,16,154
553902,17,30
553902,18,1
553902,27,9
553902,28,648
553902,29,3151
553902,30,734
553902,31,997
553902,32,64
553902,33,182
553902,42,10
553902,43,312
553902,44,285
553902,45,2699
553902,46,63
553902,56,54
553902,59,8988
553902,60,335
553902,61,59
553902,62,14
553902,74,9
553902,90,106
553902,118,611
553902,119,21
66273,14,1221
66273,15,9999
66273,27,530
66273,28,1161
66273,29,4954
66273,30,901
66273,31,1501
66273,32,711
66273,33,420
66273,45,1972
66273,46,561
66273,47,340
66273,48,1782
66273,49,470
66273,50,751
66273,63,561
66273,64,941
66273,65,2813
66273,79,4154
66273,80,7517
66273,81,601
66273,82,530
66273,95,751
66273,96,100
66273,109,470
66273,110,661
74839,12,370
74839,13,661
74839,14,1001
74839,15,9999
74839,16,110
74839,38,80
74839,39,10
74839,40,10
74839,41,10
74839,46,120
74839,47,210
74839,48,90
74839,50,10
74839,79,1421
74839,80,260
74839,81,1381
74839,82,250
74839,83,10
74839,91,731
74839,92,390
74839,93,1111
74839,94,9158
74839,95,1281
74839,96,8027
74839,97,80
6552132,12,60
6552132,13,70
6552132,15,9999
6552132,16,210
6552132,17,260
6552132,18,900
6552132,19,10
6552132,26,130
6552132,27,610
6552132,28,690
6552132,29,930
6552132,30,150
6552132,31,870
6552132,32,90
6552132,33,160
6552132,34,60
6552132,35,10
6552132,36,10
6552132,37,60
6552132,38,320
6552132,39,1821
6552132,40,240
6552132,41,350
6552132,42,60
6552132,43,360
6552132,44,130
6552132,45,1771
6552132,46,170
6552132,47,1631
6552132,48,250
6552132,49,170
6552132,50,640
6552132,51,1791
6552132,52,1051
6552132,53,630
6552132,54,130
6552132,55,290
6552132,56,30
6552132,57,150
6552132,58,150
6552132,59,130
6552132,60,20
6552132,61,100
6552132,62,400
6552132,63,1681
6552132,64,330
6552132,65,1511
6552132,66,520
6552132,67,290
6552132,68,80
6552132,69,500
6552132,70,230
6552132,71,200
6552132,72,50
6552132,73,50
6552132,74,130
6552132,75,170
6552132,76,230
6552132,77,1611
6552132,78,1081
6552132,79,2742
6552132,80,120
6552132,81,150
6552132,82,140
6552132,83,110
6552132,84,120
6552132,85,100
6552132,86,80
6552132,87,90
6552132,88,50
6552132,89,880
6552132,90,270
6552132,91,610
6552132,92,160
6552132,93,1291
6552132,94,810
6552132,95,560
6552132,96,160
6552132,97,540
6552132,98,150
6552132,99,60
6552132,100,20
6552132,101,40
6552132,102,50
6552132,103,100
6552132,104,140
6552132,105,200
6552132,106,110
6552132,107,220
6552132,109,9139
6552132,110,630
6552132,111,260
6552132,112,40
6552132,113,200
6552132,115,30
6552132,116,10
6552132,117,30
6552132,118,40
6552132,119,60
6552132,120,100
6552132,121,400
6552132,122,130
6552132,123,570
6552132,124,240
6552132,125,570
6552132,126,560
6552132,127,1951
6552132,128,70
6552132,129,20
6552132,133,20
6552132,134,110
6552132,135,210
6552132,136,110
6552132,137,800
6552132,138,160
6552132,139,210
6552132,140,50
6552132,141,140
6552132,142,10
6552132,143,10
6552132,149,190
6552132,150,30
6552132,151,110
6552132,152,40
6552132,153,400
6552132,154,240
6552132,155,570
6552132,156,60
6552132,157,30
6552132,165,10
6552132,167,90
6552132,168,30
6552132,169,120
6552132,170,340
6552132,171,360
6552132,172,50
6552132,173,30
6552132,183,20
6552132,184,30
6552132,185,60
6552132,186,20
6552132,187,50
6552132,188,100
6552132,189,10
6552132,199,100
6552132,200,30
6552132,201,30
6552132,203,510
6552132,204,40
6552132,205,20
6552132,213,10
6552132,214,10
6552132,215,80
6552132,216,50
6552132,217,80
6552132,218,10
6552132,220,90
6552132,229,50
6552132,230,30
6552132,231,400
6552132,232,50
6552132,233,20
6552132,234,10
6552132,235,70
6552132,245,10
6552132,246,20
6552132,247,90
6552132,248,40
6552132,249,10
6552132,261,170
6552132,262,410
6552132,263,2532
6552132,264,280
6552132,265,140
6552132,266,10
6552132,278,620
6552132,279,250
6552132,280,50
6552132,281,10
3695849,13,81
3695849,14,490
3695849,15,9999
3695849,16,155
3695849,17,175
3695849,18,589
3695849,26,214
3695849,27,443
3695849,28,391
3695849,29,1504
3695849,30,704
3695849,31,338
3695849,37,415
3695849,38,887
3695849,39,1896
3695849,40,144
