"id","mzs","ints"
503286,13,241
503286,14,724
503286,15,9999
503286,26,275
503286,27,1344
503286,28,3655
503286,29,241
503286,30,620
503286,42,1103
503286,43,6758
503286,57,413
503286,58,3172
616386,12,90
616386,13,237
616386,14,1211
616386,15,9999
616386,16,293
616386,17,110
616386,18,27
616386,19,5
616386,22,7
616386,26,13
616386,28,884
616386,29,7045
616386,30,1256
616386,31,6906
616386,32,194
616386,33,1016
616386,34,18
616386,40,5
616386,41,9
616386,42,36
616386,43,191
616386,44,1185
616386,45,9537
616386,46,248
616386,47,34
616386,56,24
616386,59,5942
616386,60,716
616386,61,662
616386,62,824
616386,63,19
616386,64,6
616386,72,5
616386,75,153
616386,76,4
616386,90,549
616386,91,35
616386,92,5
553902,15,7459
553902,16,129
553902,17,10
553902,18,50
553902,26,20
553902,27,20
553902,28,1059
553902,29,1929
553902,30,639
553902,31,639
553902,32,50
553902,33,109
553902,42,20
553902,43,409
553902,44,889
553902,45,3289
553902,46,99
553902,47,10
553902,56,50
553902,58,10
553902,59,9999
553902,60,379
553902,61,70
553902,62,10
553902,74,20
553902,90,20
553902,118,249
553902,119,10
66273,13,10
66273,14,60
66273,15,1351
66273,16,20
66273,27,10
66273,29,1411
66273,30,170
66273,31,721
66273,32,80
66273,33,90
66273,34,50
66273,35,10
66273,44,50
66273,45,1401
66273,46,180
66273,47,70
66273,48,971
66273,49,190
66273,50,250
66273,51,30
66273,52,10
66273,62,30
66273,63,360
66273,64,520
66273,65,2783
66273,66,50
66273,67,110
66273,78,140
66273,79,7567
66273,80,9999
66273,81,530
66273,82,420
66273,95,1551
66273,96,30
66273,97,60
66273,109,591
66273,110,561
66273,111,70
66273,112,20
74839,12,50
74839,13,90
74839,14,210
74839,15,4664
74839,16,60
74839,46,140
74839,47,250
74839,48,110
74839,79,631
74839,80,160
74839,81,631
74839,82,160
74839,91,681
74839,92,400
74839,93,2092
74839,94,9999
74839,95,1491
74839,96,9428
74839,97,110
77781,12,51
77781,13,79
77781,14,496
77781,15,3583
77781,16,94
77781,17,1
77781,18,58
77781,19,48
77781,28,235
77781,29,5161
77781,30,1241
77781,31,6632
77781,32,4885
77781,33,524
77781,45,2861
77781,46,95
77781,48,1029
77781,49,196
77781,50,289
77781,61,204
77781,64,645
77781,65,1208
77781,66,2750
77781,67,89
77781,68,149
77781,78,647
77781,79,1380
77781,80,132
77781,81,202
77781,95,9999
77781,96,5514
77781,97,733
77781,98,265
77781,125,604
77781,126,407
77781,127,85
77781,128,45
1732087,14,20
1732087,15,711
1732087,16,10
1732087,26,80
1732087,27,721
1732087,28,390
1732087,29,801
1732087,30,80
1732087,31,280
1732087,32,10
1732087,33,50
1732087,34,20
1732087,35,30
1732087,37,10
1732087,38,50
1732087,39,1201
1732087,40,280
1732087,41,2813
1732087,42,1822
1732087,43,2983
1732087,44,200
1732087,45,811
1732087,46,20
1732087,47,30
1732087,48,671
1732087,49,621
1732087,51,80
1732087,52,40
1732087,53,460
1732087,54,440
1732087,55,6806
1732087,56,500
1732087,57,440
1732087,58,150
1732087,59,5565
1732087,60,170
1732087,61,40
1732087,62,10
1732087,63,220
1732087,65,110
1732087,66,40
1732087,67,480
1732087,68,1912
1732087,69,5135
1732087,70,490
1732087,71,290
1732087,72,210
1732087,73,2873
1732087,74,6796
1732087,75,300
1732087,76,30
1732087,77,20
1732087,78,20
1732087,79,230
1732087,80,80
1732087,81,250
1732087,82,320
1732087,83,4024
1732087,84,260
1732087,85,480
1732087,86,50
1732087,87,2282
1732087,88,330
1732087,89,20
1732087,94,10
1732087,95,140
1732087,96,1001
1732087,97,2803
1732087,98,270
1732087,99,160
1732087,100,1481
1732087,101,500
1732087,102,120
1732087,103,10
1732087,106,10
1732087,107,10
1732087,109,10
1732087,111,1822
1732087,112,150
1732087,113,540
1732087,114,931
1732087,115,9999
1732087,116,681
1732087,117,60
1732087,122,10
1732087,123,130
1732087,124,2472
1732087,125,4234
1732087,126,350
1732087,127,270
1732087,128,3573
1732087,129,561
1732087,130,50
1732087,139,200
1732087,140,20
1732087,141,80
1732087,142,10
1732087,145,50
1732087,146,70
1732087,155,30
1732087,156,841
1732087,157,3653
1732087,158,330
1732087,159,40
1732087,160,10
1732087,189,10
18113149,41,3
18113149,42,6
18113149,43,30
18113149,47,72
18113149,48,111
18113149,49,578
18113149,50,1897
18113149,51,1373
18113149,53,6943
18113149,54,270
18113149,55,4
18113149,59,6
18113149,60,989
18113149,61,1248
18113149,62,1689
18113149,63,2009
18113149,64,120
18113149,65,455
18113149,66,40
18113149,69,18
18113149,71,9
18113149,72,146
18113149,73,646
18113149,74,160
18113149,75,199
18113149,76,6
18113149,77,255
18113149,78,52
18113149,79,693
18113149,80,5
18113149,83,38
18113149,84,188
18113149,85,1736
18113149,86,533
18113149,87,930
18113149,88,462
18113149,89,316
18113149,90,123
18113149,91,191
18113149,93,5
18113149,95,5
18113149,96,158
18113149,97,680
18113149,98,110
18113149,99,571
18113149,100,30
18113149,101,75
18113149,105,23
18113149,107,100
18113149,108,3
18113149,109,19
18113149,111,2
18113149,113,1764
18113149,114,251
18113149,115,524
18113149,116,54
18113149,120,103
18113149,121,148
18113149,122,50
18113149,123,84
18113149,125,21
18113149,126,14
18113149,127,34
18113149,128,10
18113149,129,28
18113149,131,1
18113149,133,148
18113149,135,71
18113149,141,1154
18113149,142,153
18113149,143,338
18113149,144,14
18113149,148,38
18113149,149,3052
18113149,150,159
18113149,151,1947
18113149,152,51
18113149,153,247
18113149,157,1
18113149,163,18
18113149,177,9999
18113149,178,654
18113149,179,6447
18113149,180,361
18113149,181,1008
18113149,182,13
18113149,191,54
18113149,192,5670
18113149,193,456
18113149,194,3583
18113149,195,213
18113149,196,519
18113149,197,3
3695849,15,509
3695849,26,20
3695849,27,129
3695849,28,109
3695849,29,60
3695849,30,10
3695849,31,10
3695849,37,40
3695849,38,90
3695849,39,309
3695849,40,20
3695849,44,10
3695849,45,50
3695849,49,40
3695849,50,699
3695849,51,1849
3695849,52,289
3695849,53,60
3695849,59,679
3695849,60,20
3695849,61,90
3695849,62,169
3695849,63,309
3695849,64,199
3695849,65,60
3695849,66,119
3695849,70,20
3695849,73,40
3695849,74,359
3695849,75,759
3695849,76,579
3695849,77,2909
3695849,78,329
3695849,79,20
3695849,85,10
3695849,86,30
3695849,87,70
3695849,88,119
3695849,89,129
3695849,90,40
3695849,91,199
3695849,92,40
3695849,93,40
3695849,94,10
3695849,97,10
3695849,98,50
3695849,99,159
3695849,100,359
3695849,101,1559
3695849,102,1499
3695849,103,169
3695849,104,30
3695849,105,50
3695849,107,10
3695849,108,40
3695849,110,20
3695849,112,10
3695849,113,10
3695849,114,60
3695849,115,319
3695849,116,209
3695849,117,40
3695849,118,10
3695849,121,2359
3695849,122,209
3695849,123,20
3695849,126,60
3695849,127,1269
3695849,128,4739
3695849,129,789
3695849,130,139
3695849,131,50
3695849,132,10
3695849,140,50
3695849,141,249
3695849,142,549
3695849,143,359
3695849,144,90
3695849,145,10
3695849,154,20
3695849,155,349
3695849,156,7869
3695849,157,929
3695849,158,179
3695849,159,60
3695849,160,50
3695849,161,40
3695849,169,99
3695849,170,40
3695849,171,20
3695849,172,539
3695849,173,70
3695849,186,4879
3695849,187,9999
3695849,188,1239
3695849,189,119
6552132,51,370
6552132,52,220
6552132,53,120
6552132,54,30
6552132,55,40
6552132,57,10
6552132,58,40
6552132,59,40
6552132,60,10
6552132,61,30
6552132,62,110
6552132,63,540
6552132,64,90
6552132,65,380
6552132,66,170
6552132,67,80
6552132,68,20
6552132,69,190
6552132,70,80
6552132,71,60
6552132,72,30
6552132,73,20
6552132,74,50
6552132,75,70
6552132,76,90
6552132,77,601
6552132,78,430
6552132,79,1301
6552132,80,50
6552132,81,50
6552132,82,80
6552132,83,50
6552132,84,60
6552132,85,60
6552132,86,50
6552132,87,60
6552132,88,20
6552132,89,440
6552132,90,130
6552132,91,330
6552132,92,70
6552132,93,380
6552132,94,110
6552132,95,240
6552132,96,60
6552132,97,290
6552132,98,80
6552132,99,30
6552132,100,10
6552132,101,20
6552132,102,40
6552132,103,70
6552132,104,70
6552132,105,120
6552132,106,60
6552132,107,110
6552132,109,6055
6552132,110,390
6552132,111,160
6552132,112,20
6552132,113,130
6552132,114,10
6552132,115,20
6552132,116,10
6552132,117,30
6552132,118,30
6552132,119,40
6552132,120,80
6552132,121,350
6552132,122,90
6552132,123,310
6552132,124,150
6552132,125,460
6552132,126,380
6552132,127,1551
6552132,128,60
6552132,129,20
6552132,130,10
6552132,131,10
6552132,133,10
6552132,134,130
6552132,135,260
6552132,136,110
6552132,137,681
6552132,138,130
6552132,139,150
6552132,140,30
6552132,141,90
6552132,142,20
6552132,143,10
6552132,145,10
6552132,146,10
6552132,147,10
6552132,148,10
6552132,149,60
6552132,150,20
6552132,151,140
6552132,152,50
6552132,153,460
6552132,154,170
6552132,155,130
6552132,156,30
6552132,157,10
6552132,159,10
6552132,163,10
6552132,164,10
6552132,165,10
6552132,166,10
6552132,167,70
6552132,168,30
6552132,169,110
6552132,170,30
6552132,171,370
