"id","mz_ratio","intensity"
"Hectochlorin M+H",218.156921,4853.495117
"Hectochlorin M+H",370.177979,16247.538086
"Hectochlorin M+H",406.058289,68055.726562
"Hectochlorin M+H",424.090088,6454.876953
"Hectochlorin M+H",465.916718,12452.270508
"Hectochlorin M+H",543.092834,3893.071045
"Hectochlorin M+H",547.150635,7911.711426
"Hectochlorin M+H",561.141785,15222.433594
"Hectochlorin M+H",569.071045,16930.384766
"Hectochlorin M+H",587.077148,8534.241211
"Hectochlorin M+H",605.009155,367041.09375
"Hectochlorin M+H",607.091064,4475.324707
"Hectochlorin M+H",623.038208,16478.171875
"Hectochlorin M+H",629.009888,23450.410156
"Hectochlorin M+H",647.032104,3884.974365
"Malyngamide J M+H",223.92569,791
"Malyngamide J M+H",282.892944,2058
"Malyngamide J M+H",302.954224,1012
"Malyngamide J M+H",398.024689,4416
"Malyngamide J M+H",401.749817,1285
"Malyngamide J M+H",415.898895,5169
"Malyngamide J M+H",430.15686,666
"Malyngamide J M+H",448.012909,4254
"Malyngamide J M+H",503.802002,610
"Malyngamide J M+H",535.590942,1345
"Malyngamide J M+H",607.262451,806
"Trp_derivative M+H",118.050644,466653
"Trp_derivative M+H",145.944199,45491448
"Trp_derivative M+H",146.599823,476817
"Trp_derivative M+H",163.927429,8305282
"1-hydroxyphenazine M+H",153.990219,1228.927979
"1-hydroxyphenazine M+H",168.977768,27991.75
"1-hydroxyphenazine M+H",178.967026,23563.066406
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",115.816261,1920
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",144.044327,1925
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",159.067917,8530
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",161.328171,1731
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",162.053741,1806
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",162.054947,15336
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",172.075775,7055
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",175.062729,13153
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",202.602829,2487
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",202.604187,1846
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",202.60527,1962
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",207.132523,1784
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",242.074158,1844
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",270.177917,1851
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",270.181763,21993
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",270.18512,162503
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",275.696869,1681
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",288.195953,18160
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",307.97818,1684
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",328.624939,1721
"2-nonyl-3-hydroxy 4(1H)-quinolone ! 4-hydroxy-2-nonylquinoline N-oxide M+H",342.462097,1682
"2-nonenyl 4-quinolone M+H",130.069809,1290.098999
"2-nonenyl 4-quinolone M+H",132.08197,1532.6698
"2-nonenyl 4-quinolone M+H",146.051117,2767.254883
"2-nonenyl 4-quinolone M+H",158.147842,9950.884766
"2-nonenyl 4-quinolone M+H",159.050812,102379.03125
"2-nonenyl 4-quinolone M+H",160.049377,34399.308594
"2-nonenyl 4-quinolone M+H",161.060562,3437.277588
"2-nonenyl 4-quinolone M+H",168.05069,3498.111816
"2-nonenyl 4-quinolone M+H",172.024811,123788.023438
"2-nonenyl 4-quinolone M+H",173.043716,34725.199219
"2-nonenyl 4-quinolone M+H",174.039566,6173.858887
"2-nonenyl 4-quinolone M+H",184.042374,49552.988281
"2-nonenyl 4-quinolone M+H",185.049088,110696.289062
"2-nonenyl 4-quinolone M+H",186.050125,89088.359375
