"id"	"mz_ratio"	"intensity"
"616386"	2	50
"616386"	12	80
"616386"	13	180
"616386"	14	611
"616386"	15	9999
"616386"	16	180
"616386"	17	70
"616386"	18	70
"616386"	19	10
"616386"	24	10
"616386"	25	10
"616386"	26	10
"616386"	27	30
"616386"	28	370
"616386"	29	7126
"616386"	30	1311
"616386"	31	6626
"616386"	32	4984
"616386"	33	490
"616386"	34	40
"616386"	35	10
"616386"	36	10
"616386"	37	10
"616386"	38	10
"616386"	39	10
"616386"	40	10
"616386"	41	10
"616386"	42	20
"616386"	43	50
"616386"	44	40
"616386"	45	3974
"616386"	46	761
"616386"	47	40
"616386"	48	1061
"616386"	49	140
"616386"	50	250
"616386"	51	10
"616386"	52	10
"616386"	53	10
"616386"	54	10
"616386"	55	10
"616386"	56	10
"616386"	57	10
"616386"	58	10
"616386"	59	10
"616386"	60	10
"616386"	61	100
"616386"	62	10
"616386"	63	20
"616386"	64	490
"616386"	65	921
"616386"	66	2112
"616386"	67	60
"616386"	68	100
"616386"	69	10
"616386"	70	10
"616386"	71	10
"616386"	72	10
"616386"	73	30
"616386"	74	10
"616386"	75	10
"616386"	76	10
"616386"	77	10
"616386"	78	350
"616386"	79	901
"616386"	80	10
"616386"	81	140
"616386"	82	10
"616386"	83	10
"616386"	84	10
"616386"	85	10
"616386"	87	10
"616386"	89	10
"616386"	90	10
"616386"	91	10
"616386"	92	10
"616386"	93	10
"616386"	94	30
"616386"	95	6646
"616386"	96	3453
"616386"	97	470
"616386"	98	170
"616386"	125	440
"616386"	126	310
"616386"	127	50
"616386"	128	20
"503286"	2	70
"503286"	12	120
"503286"	13	350
"503286"	14	1041
"503286"	15	9999
"503286"	16	130
"503286"	17	10
"503286"	24	10
"503286"	25	10
"503286"	26	180
"503286"	27	1291
"503286"	28	2903
"503286"	29	190
"503286"	30	280
"503286"	31	10
"503286"	39	10
"503286"	40	20
"503286"	41	230
"503286"	42	1782
"503286"	43	3513
"503286"	44	80
"503286"	54	10
"503286"	55	20
"503286"	56	20
"503286"	57	170
"503286"	58	1551
"503286"	59	40
