"id","mz_ratio","intensity"
"Hectochlorin M+H",217.74823,167912
"Hectochlorin M+H",362.789001,59880
"Hectochlorin M+H",365.723022,60870
"Hectochlorin M+H",369.804291,307897
"Hectochlorin M+H",405.815887,1482111
"Hectochlorin M+H",423.638977,161669
"Hectochlorin M+H",465.704803,178719
"Hectochlorin M+H",506.802399,140763
"Hectochlorin M+H",524.94574,69619
"Hectochlorin M+H",542.833557,102843
"Hectochlorin M+H",546.739807,97258
"Hectochlorin M+H",560.869568,433371
"Hectochlorin M+H",568.85199,480612
"Hectochlorin M+H",586.748169,133034
"Hectochlorin M+H",604.804443,5549140
"Hectochlorin M+H",606.690308,83891
"Hectochlorin M+H",622.757446,414661
"Hectochlorin M+H",628.79187,336850
"Malyngamide J M+H",175.014008,1684
"Malyngamide J M+H",192.072906,1692
"Malyngamide J M+H",209.779663,2270
"Malyngamide J M+H",224.335022,1047
"Malyngamide J M+H",236.332825,1713
"Malyngamide J M+H",272.723511,303
"Malyngamide J M+H",274.761963,478
"Malyngamide J M+H",382.200684,1106
"Malyngamide J M+H",392.527954,1676
"Malyngamide J M+H",397.75354,348
"Malyngamide J M+H",398.327942,1630
"Malyngamide J M+H",415.924774,7570
"Malyngamide J M+H",418.00708,419
"Malyngamide J M+H",430.006531,1100
"Malyngamide J M+H",439.535095,611
"Malyngamide J M+H",447.965729,10124
"Malyngamide J M+H",451.09259,505
"Malyngamide J M+H",454.353271,3113
"Malyngamide J M+H",464.952209,486
"Malyngamide J M+H",492.733154,805
"Malyngamide J M+H",503.803162,481
"Malyngamide J M+H",526.112183,1094
"Malyngamide J M+H",527.667236,309
"Malyngamide J M+H",539.587402,2204
"Malyngamide J M+H",544.141602,1693
"Malyngamide J M+H",558.240234,2871
"Malyngamide J M+H",576.024414,1593
"Malyngamide J M+H",577.979248,2824
"Malyngamide J M+H",579.066772,362
"Malyngamide J M+H",583.858398,486
"Malyngamide J M+H",589.837646,426
"Malyngamide J M+H",596.244141,462
"Malyngamide J M+H",607.336426,1215
"Malyngamide J M+H",615.210144,2615
"Malyngamide J M+H",616.463623,947
"Trp_derivative M+H",145.930786,48028792
"Trp_derivative M+H",146.593414,924155
"Trp_derivative M+H",163.950317,8807874
"1-hydroxyphenazine M+H",50.309811,127
"1-hydroxyphenazine M+H",50.565948,116
"1-hydroxyphenazine M+H",51.805309,114
